,train,validate
0,0.6568626930238985,0.5106763066388431
1,0.33664933126490315,0.20893981828258634
2,0.18470559004812523,0.14849726491609974
3,0.1363471423208295,0.09672487658423785
4,0.11194987042504446,0.09134319080397418
5,0.09383183819671782,0.06422986421859131
6,0.08181972140380142,0.06806278044969881
7,0.0725807299010708,0.06078186673686267
8,0.06344478171500588,0.06019617352179487
9,0.055756195209450965,0.052897158936455184
10,0.05260362453869291,0.03964713328651351
11,0.048913618960305966,0.05303770111227238
12,0.04211391357882402,0.0443927277113667
13,0.039151406778578264,0.03528347250627386
14,0.03617785548861978,0.02893796295496791
15,0.03484200192552527,0.14321460241646086
16,0.03220808102093195,0.028075346384206466
17,0.029164056239468657,0.029350722891999994
18,0.02706715304929325,0.03524410840497842
19,0.025925964748564213,0.018920164855167915
20,0.026393136987025573,0.020549840516875015
21,0.022414432464866785,0.02263052867665004
22,0.02223853564647476,0.012893418108177877
23,0.02073928047561669,0.023600004668754126
24,0.02184825917011798,0.03367059374994443
25,0.020122552846686806,0.015331109707238954
26,0.018118546766106816,0.017057727692715057
27,0.018623580343624147,0.012977276410223648
28,0.017075195558527614,0.012073752149178291
29,0.016547613588587973,0.014543584763125304
30,0.015287089240640282,0.018587068046223624
31,0.015039930149630863,0.017562585236087933
